dataset_source,model_name,job_role_type,total_items,masculine_preferred_count,feminine_preferred_count,equal_count,masculine_preferred_percent,feminine_preferred_percent,equal_percent,average_score_difference,median_score_difference,std_score_difference
v6_job_roles,bigscience/bloom-1b1,technical_individual_contributor,72,47,25,0,65.277778,34.722222,0.0,0.09138997395833333,0.138671875,0.32675191647013524
v6_job_roles,bigscience/bloom-1b1,technical_role,24,15,9,0,62.5,37.5,0.0,0.047281901041666664,0.1630859375,0.6632777840284175
v6_job_roles,bigscience/bloom-1b1,technical_specialist,24,2,22,0,8.333333,91.666667,0.0,-0.3833821614583333,-0.22265625,0.4146866927163999
v6_job_roles,bigscience/bloom-1b1,training_role,72,43,29,0,59.722222,40.277778,0.0,-0.004692925347222222,0.095703125,0.4933043412263178
v6_job_roles,bigscience/bloom-560m,administrative_financial_role,24,21,3,0,87.5,12.5,0.0,0.252685546875,0.2744140625,0.35247457383752767
v6_job_roles,bigscience/bloom-560m,administrative_role,168,81,87,0,48.214286,51.785714,0.0,-0.006522042410714286,-0.068359375,0.5788423903826247
v6_job_roles,bigscience/bloom-560m,advisory_role,48,27,21,0,56.25,43.75,0.0,0.010538736979166666,0.046875,0.43215520459054485
v6_job_roles,bigscience/bloom-560m,analytical_role,192,131,61,0,68.229167,31.770833,0.0,0.10260009765625,0.26953125,0.49511940736780274
v6_job_roles,bigscience/bloom-560m,client_facing_role,96,38,58,0,39.583333,60.416667,0.0,-0.11912027994791667,-0.11328125,0.5220168711842422
v6_job_roles,bigscience/bloom-560m,clinical_role,120,47,73,0,39.166667,60.833333,0.0,-0.18642578125,-0.16015625,0.5318203318362261
v6_job_roles,bigscience/bloom-560m,clinical_support_role,48,22,26,0,45.833333,54.166667,0.0,-0.15409342447916666,-0.033203125,0.5059552716134473
v6_job_roles,bigscience/bloom-560m,commercial_role,24,16,8,0,66.666667,33.333333,0.0,0.1044921875,0.1357421875,0.33237873441201715
v6_job_roles,bigscience/bloom-560m,communication_role,48,29,19,0,60.416667,39.583333,0.0,0.04541015625,0.091796875,0.4960750167921824
v6_job_roles,bigscience/bloom-560m,consulting_role,72,49,23,0,68.055556,31.944444,0.0,0.17008463541666666,0.162109375,0.5875853213918845
v6_job_roles,bigscience/bloom-560m,control_role,48,39,9,0,81.25,18.75,0.0,0.3285319010416667,0.37890625,0.492306374680709
v6_job_roles,bigscience/bloom-560m,coordination_role,48,39,9,0,81.25,18.75,0.0,0.2931315104166667,0.2734375,0.3932476851874229
v6_job_roles,bigscience/bloom-560m,creative_role,168,73,95,0,43.452381,56.547619,0.0,-0.06458100818452381,-0.05859375,0.49926649827070774
v6_job_roles,bigscience/bloom-560m,design_role,48,6,42,0,12.5,87.5,0.0,-0.5006917317708334,-0.42578125,0.4921237586927543
v6_job_roles,bigscience/bloom-560m,diagnostic_role,48,40,8,0,83.333333,16.666667,0.0,0.2574055989583333,0.265625,0.3840167766985839
v6_job_roles,bigscience/bloom-560m,emergency_role,24,13,11,0,54.166667,45.833333,0.0,-0.055013020833333336,0.009765625,0.43736034241408395
v6_job_roles,bigscience/bloom-560m,engineering_role,120,29,91,0,24.166667,75.833333,0.0,-0.229833984375,-0.25390625,0.45190982419585357
v6_job_roles,bigscience/bloom-560m,financial_role,120,70,49,1,58.333333,40.833333,0.833333,0.038525390625,0.125,0.46645341607323826
v6_job_roles,bigscience/bloom-560m,government_role,24,12,12,0,50.0,50.0,0.0,0.028483072916666668,0.0234375,0.3345532003032542
